age,nationality,gender,family_size,emirate,employment_status,years_of_experience,current_position,monthly_income,monthly_expenses,net_monthly_income,total_assets,total_liabilities,net_worth,credit_score,dti_ratio,is_eligible,eligibility_score
60,Jordan,Male,4,Abu Dhabi,employed,14,Engineer,6926.98,2427.64,4499.34,20919.62,4858.68,16060.94,687,3.51,0,30
57,Egypt,Male,1,Dubai,employed,2,Accountant,4953.49,1224.7,3728.79,38946.84,29638.16,9308.68,537,29.92,0,35
23,UAE,Male,2,Dubai,unemployed,4,Unemployed,617.48,2417.48,-1800.0,105.99,461.25,-355.25,618,3.73,1,85
63,Philippines,Male,1,Ras Al Khaimah,part_time,11,Unemployed,2415.9,1747.28,668.6200000000001,11777.64,3993.48,7784.16,454,8.26,1,67
24,India,Male,5,Sharjah,unemployed,4,Unemployed,450.5,2431.84,-1981.3400000000001,14133.03,11265.76,2867.26,649,125.04,1,95
30,India,Male,1,Sharjah,unemployed,1,Unemployed,684.23,1728.18,-1043.95,1830.57,9903.54,-8072.96,574,72.37,1,85
56,UAE,Male,5,Umm Al Quwain,part_time,3,Unemployed,1955.59,4212.87,-2257.2799999999997,6377.34,4158.83,2218.5,403,10.63,1,87
50,India,Female,6,Dubai,employed,25,Engineer,2772.0,5201.98,-2429.9799999999996,10909.08,6530.82,4378.26,605,11.78,1,80
44,Pakistan,Male,3,Ras Al Khaimah,self_employed,8,Business Owner,12978.94,3145.18,9833.76,90159.98,37271.31,52888.66,823,14.36,0,10
62,Syria,Female,2,Dubai,unemployed,12,Unemployed,74.55,2980.33,-2905.7799999999997,11583.67,3974.31,7609.36,615,266.55,1,85
32,Jordan,Male,2,Umm Al Quwain,self_employed,8,Business Owner,11477.09,2656.91,8820.18,29625.8,14470.9,15154.9,640,6.3,0,15
49,Egypt,Male,5,Fujairah,part_time,7,Unemployed,2623.63,2628.98,-5.349999999999909,5562.27,13376.83,-7814.55,436,25.49,1,92
56,Syria,Female,3,Abu Dhabi,unemployed,5,Unemployed,887.21,2649.99,-1762.7799999999997,1793.91,14264.9,-12470.98,400,80.39,1,95
26,Jordan,Female,3,Ras Al Khaimah,employed,6,Accountant,2884.69,2260.92,623.77,606.5,14213.26,-13606.75,489,24.64,1,75
63,Jordan,Male,3,Sharjah,unemployed,2,Unemployed,31.43,2945.54,-2914.11,4715.34,10171.41,-5456.07,621,1618.11,1,95
58,Jordan,Male,2,Umm Al Quwain,self_employed,13,Business Owner,9017.93,1804.59,7213.34,142570.96,37937.6,104633.36,785,21.03,0,5
49,UAE,Male,5,Sharjah,employed,12,Nurse,4411.28,3495.68,915.5999999999999,12645.42,8330.2,4315.22,689,9.44,1,65
32,UAE,Male,2,Ajman,self_employed,7,Business Owner,13649.19,1977.01,11672.18,34306.75,10293.93,24012.82,720,3.77,0,15
34,Pakistan,Female,5,Abu Dhabi,unemployed,6,Unemployed,164.66,3681.81,-3517.15,7272.45,13848.72,-6576.27,633,420.52,1,100
45,Jordan,Female,5,Ajman,part_time,5,Unemployed,2046.91,3739.44,-1692.53,6057.54,1297.84,4759.7,585,3.17,1,87
33,India,Male,2,Dubai,unemployed,1,Unemployed,712.27,1722.13,-1009.8600000000001,14966.11,5335.62,9630.49,401,37.46,1,80
23,Syria,Male,3,Umm Al Quwain,employed,4,Office Assistant,3439.57,2421.13,1018.44,27202.3,24782.57,2419.72,552,36.03,0,55
47,Jordan,Female,6,Ajman,employed,22,Cleaner,9937.07,3341.62,6595.45,114668.13,25228.07,89440.05,815,12.69,0,15
55,Philippines,Female,3,Fujairah,employed,10,Manager,6127.9,3269.58,2858.3199999999997,65884.16,13289.46,52594.69,669,10.84,0,20
37,Philippines,Female,1,Ajman,self_employed,4,Business Owner,2215.64,1814.51,401.1299999999999,3397.44,12903.46,-9506.02,451,29.12,1,65
62,Egypt,Female,4,Sharjah,employed,6,Engineer,3213.1,4041.86,-828.7600000000002,35706.88,11254.13,24452.75,643,17.51,1,60
47,Philippines,Male,6,Umm Al Quwain,employed,19,Construction Worker,6142.99,4130.06,2012.9299999999994,26929.66,5979.29,20950.37,739,4.87,0,35
26,Jordan,Male,5,Abu Dhabi,unemployed,2,Unemployed,188.71,3069.29,-2880.58,10505.37,16933.22,-6427.86,547,448.66,1,100
45,Philippines,Male,3,Dubai,self_employed,1,Business Owner,10346.41,1951.45,8394.96,41011.73,31753.73,9258.0,583,15.35,0,25
56,India,Female,2,Ras Al Khaimah,unemployed,8,Unemployed,663.5,1507.59,-844.0899999999999,2412.12,10974.68,-8562.56,453,82.7,1,90
56,UAE,Male,4,Umm Al Quwain,part_time,8,Unemployed,1939.81,2137.96,-198.1500000000001,7408.41,3576.45,3831.95,647,9.22,1,82
29,Philippines,Male,4,Ras Al Khaimah,unemployed,0,Unemployed,308.06,3239.33,-2931.27,7632.21,12726.65,-5094.44,421,206.56,1,95
51,Egypt,Female,6,Ras Al Khaimah,part_time,12,Unemployed,2716.86,5146.47,-2429.61,6515.92,7001.57,-485.65,496,12.89,1,92
49,Syria,Male,4,Fujairah,self_employed,1,Business Owner,4538.16,3617.15,921.0099999999998,14827.03,486.32,14340.71,548,0.54,0,55
38,Jordan,Female,7,Ajman,part_time,13,Unemployed,3884.82,5744.59,-1859.77,17955.55,309.13,17646.42,523,0.4,1,72
50,UAE,Male,3,Dubai,unemployed,4,Unemployed,572.29,3564.6,-2992.31,1130.19,6113.94,-4983.75,559,53.42,1,95
44,Philippines,Male,2,Fujairah,unemployed,2,Unemployed,169.49,2335.2,-2165.71,14042.32,13920.6,121.73,503,410.66,0,85
45,Jordan,Male,2,Dubai,unemployed,14,Unemployed,990.05,1710.13,-720.0800000000002,7774.94,17547.46,-9772.52,416,88.62,1,90
61,Syria,Female,4,Fujairah,employed,10,Teacher,5674.66,2722.67,2951.99,39384.66,11198.62,28186.04,612,9.87,0,30
28,Pakistan,Male,3,Ras Al Khaimah,unemployed,3,Unemployed,649.96,3063.54,-2413.58,11936.89,17800.11,-5863.22,614,136.93,1,95
